technology,variable,value,unit,year,type
Gas_recip,VOM,8.5,$/MWh,2040,Generation
Gas_recip,CCS,0,$/MWh,2040,Generation
Gas_recip,Fuel_low,7.9,$/GJ,2040,Generation
Gas_recip,CF_low,0.2,%,2040,Generation
Gas_recip,Fuel_high,15.8,$/GJ,2040,Generation
Gas_recip,CF_high,0.2,%,2040,Generation
Gas_recip,Economiclife,25,Years,2050,Generation
Gas_recip,Constructiontime,1.1,Years,2050,Generation
Gas_recip,Efficiency,0.41,%,2050,Generation
Gas_recip,FOM,29.4,$/kW,2050,Generation
Gas_recip,VOM,8.5,$/MWh,2050,Generation
Gas_recip,CCS,0,$/MWh,2050,Generation
Gas_recip,Fuel_low,7.9,$/GJ,2050,Generation
Gas_recip,CF_low,0.2,%,2050,Generation
Gas_recip,Fuel_high,15.8,$/GJ,2050,Generation
Gas_recip,CF_high,0.2,%,2050,Generation
H2_recip,Economiclife,25,Years,2025,Generation
H2_recip,Constructiontime,1,Years,2025,Generation
H2_recip,Efficiency,0.32,%,2025,Generation
H2_recip,FOM,33,$/kW,2025,Generation
H2_recip,VOM,0,$/MWh,2025,Generation
H2_recip,CCS,0,$/MWh,2025,Generation
H2_recip,Fuel_low,40.9,$/GJ,2025,Generation
H2_recip,CF_low,0.2,%,2025,Generation
H2_recip,Fuel_high,43.2,$/GJ,2025,Generation
H2_recip,CF_high,0.2,%,2025,Generation
H2_recip,Economiclife,25,Years,2030,Generation
H2_recip,Constructiontime,1,Years,2030,Generation
H2_recip,Efficiency,0.32,%,2030,Generation
H2_recip,FOM,33,$/kW,2030,Generation
H2_recip,VOM,0,$/MWh,2030,Generation
H2_recip,CCS,0,$/MWh,2030,Generation
H2_recip,Fuel_low,35.4,$/GJ,2030,Generation
H2_recip,CF_low,0.2,%,2030,Generation
H2_recip,Fuel_high,38.6,$/GJ,2030,Generation
H2_recip,CF_high,0.2,%,2030,Generation
H2_recip,Economiclife,25,Years,2040,Generation
H2_recip,Constructiontime,1,Years,2040,Generation
H2_recip,Efficiency,0.32,%,2040,Generation
H2_recip,FOM,33,$/kW,2040,Generation
H2_recip,VOM,0,$/MWh,2040,Generation
H2_recip,CCS,0,$/MWh,2040,Generation
H2_recip,Fuel_low,24.5,$/GJ,2040,Generation
H2_recip,CF_low,0.2,%,2040,Generation
H2_recip,Fuel_high,29.1,$/GJ,2040,Generation
H2_recip,CF_high,0.2,%,2040,Generation
H2_recip,Economiclife,25,Years,2050,Generation
H2_recip,Constructiontime,1,Years,2050,Generation
H2_recip,Efficiency,0.32,%,2050,Generation
H2_recip,FOM,33,$/kW,2050,Generation
H2_recip,VOM,0,$/MWh,2050,Generation
H2_recip,CCS,0,$/MWh,2050,Generation
H2_recip,Fuel_low,17.8,$/GJ,2050,Generation
H2_recip,CF_low,0.2,%,2050,Generation
H2_recip,Fuel_high,22.7,$/GJ,2050,Generation
H2_recip,CF_high,0.2,%,2050,Generation
OCGT_large,Economiclife,25,Years,2025,Generation
OCGT_large,Constructiontime,1.3,Years,2025,Generation
OCGT_large,Efficiency,0.33,%,2025,Generation
OCGT_large,FOM,14.1,$/kW,2025,Generation
OCGT_large,VOM,8.1,$/MWh,2025,Generation
OCGT_large,CCS,0,$/MWh,2025,Generation
OCGT_large,Fuel_low,13.5,$/GJ,2025,Generation
OCGT_large,CF_low,0.2,%,2025,Generation
OCGT_large,Fuel_high,19.8,$/GJ,2025,Generation
OCGT_large,CF_high,0.2,%,2025,Generation
OCGT_large,Economiclife,25,Years,2030,Generation
OCGT_large,Constructiontime,1.3,Years,2030,Generation
OCGT_large,Efficiency,0.33,%,2030,Generation
OCGT_large,FOM,14.1,$/kW,2030,Generation
OCGT_large,VOM,8.1,$/MWh,2030,Generation
OCGT_large,CCS,0,$/MWh,2030,Generation
OCGT_large,Fuel_low,8,$/GJ,2030,Generation
OCGT_large,CF_low,0.2,%,2030,Generation
OCGT_large,Fuel_high,14.4,$/GJ,2030,Generation
OCGT_large,CF_high,0.2,%,2030,Generation
OCGT_large,Economiclife,25,Years,2040,Generation
OCGT_large,Constructiontime,1.3,Years,2040,Generation
OCGT_large,Efficiency,0.33,%,2040,Generation
